,cvm_code,data_origin,data,year,value,ticker
0,20532,dividendos,interest,2024,0.2108,SANB4
0,20532,dividendos,interest,2024,0.402855622,SANB11
0,20532,dividendos,interest,2024,0.19183601,SANB3
0,20532,dividendos,interest,2024,0.211019611,SANB4
0,20532,dividendos,interest,2023,0.143419049,SANB3
0,20532,dividendos,interest,2023,0.157760954,SANB4
0,20532,dividendos,dividend,2023,0.048660034,SANB3
0,20532,dividendos,dividend,2023,0.053526038,SANB4
0,20532,dividendos,interest,2023,0.301180003,SANB11
0,20532,dividendos,dividend,2023,0.102186072,SANB11
0,20532,dividendos,interest,2023,0.211276279,SANB4
0,20532,dividendos,interest,2023,0.192069344,SANB3
0,20532,dividendos,interest,2023,0.403345623,SANB11
0,20532,dividendos,interest,2023,0.403261461,SANB11
0,20532,dividendos,interest,2023,0.192029267,SANB3
0,20532,dividendos,interest,2023,0.211232194,SANB4
0,20532,dividendos,interest,2023,0.457629221,SANB11
0,20532,dividendos,interest,2023,0.217918677,SANB3
0,20532,dividendos,interest,2023,0.239710544,SANB4
0,20532,dividendos,dividend,2022,0.115527291,SANB4
0,20532,dividendos,dividend,2022,0.220552102,SANB11
0,20532,dividendos,interest,2022,0.23669006,SANB11
0,20532,dividendos,interest,2022,0.123980508,SANB4
0,20532,dividendos,interest,2022,0.112709553,SANB3
0,20532,dividendos,dividend,2022,0.10502481,SANB3
0,20532,dividendos,interest,2022,0.217747397,SANB3
0,20532,dividendos,interest,2022,0.239522137,SANB4
0,20532,dividendos,interest,2022,0.457269534,SANB11
0,20532,dividendos,interest,2022,0.140567937,SANB4
0,20532,dividendos,interest,2022,0.127789034,SANB3
0,20532,dividendos,dividend,2022,0.098397556,SANB4
0,20532,dividendos,dividend,2022,0.089452324,SANB3
0,20532,dividendos,interest,2022,0.268356971,SANB11
0,20532,dividendos,dividend,2022,0.18784988,SANB11
0,20532,dividendos,dividend,2022,0.165953172,SANB3
0,20532,dividendos,dividend,2022,0.182548489,SANB4
0,20532,dividendos,dividend,2022,0.348501661,SANB11
0,20532,dividendos,interest,2022,0.455732942,SANB11
0,20532,dividendos,interest,2022,0.217015687,SANB3
0,20532,dividendos,interest,2022,0.238717255,SANB4
0,20532,dividendos,interest,2022,0.034965532,SANB4
0,20532,dividendos,interest,2022,0.066752379,SANB11
0,20532,dividendos,interest,2022,0.031786847,SANB3
0,20532,dividendos,dividend,2021,0.382980827,SANB3
0,20532,dividendos,dividend,2021,0.804259737,SANB11
0,20532,dividendos,dividend,2021,0.42127891,SANB4
0,20532,dividendos,interest,2021,0.911494369,SANB11
0,20532,dividendos,interest,2021,0.477449431,SANB4
0,20532,dividendos,interest,2021,0.434044938,SANB3
0,20532,dividendos,dividend,2021,0.804259737,SANB11
0,20532,dividendos,dividend,2021,0.42127891,SANB4
0,20532,dividendos,dividend,2021,0.382980827,SANB3
0,20532,dividendos,dividend,2021,0.065425699,SANB3
0,20532,dividendos,dividend,2021,0.137393967,SANB11
0,20532,dividendos,dividend,2021,0.071968269,SANB4
0,20532,dividendos,interest,2021,0.178421447,SANB11
0,20532,dividendos,interest,2021,0.084962594,SANB3
0,20532,dividendos,interest,2021,0.093458853,SANB4
0,20532,dividendos,interest,2020,0.127763608,SANB3
0,20532,dividendos,interest,2020,0.268303578,SANB11
0,20532,dividendos,interest,2020,0.140539969,SANB4
0,20532,dividendos,interest,2020,0.206596469,SANB11
